City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
172,Leeton,AU,2020-05-10 16:22:22,-34.57,146.4,35.6,100,0,3.31,clear sky,0.0,0.0
173,Pacifica,US,2020-05-10 16:21:34,37.61,-122.49,59.0,67,75,3.36,broken clouds,0.0,0.0
174,Nampa,US,2020-05-10 16:22:23,43.54,-116.56,66.0,27,1,12.75,clear sky,0.0,0.0
175,Belize,BZ,2020-05-10 16:21:58,17.25,-88.75,82.0,61,100,3.0,overcast clouds,0.0,0.0
176,Kavaratti,IN,2020-05-10 16:22:23,10.57,72.64,85.6,74,70,10.31,broken clouds,0.0,0.0
177,Kununurra,AU,2020-05-10 16:17:45,-15.77,128.73,77.0,36,14,8.05,few clouds,0.0,0.0
178,Ballina,AU,2020-05-10 16:22:23,-28.87,153.57,64.4,59,75,14.99,broken clouds,0.0,0.0
179,Arraial Do Cabo,BR,2020-05-10 16:22:23,-22.97,-42.03,78.8,50,20,17.22,few clouds,0.0,0.0
180,New Norfolk,AU,2020-05-10 16:22:23,-42.78,147.06,48.99,85,76,1.01,broken clouds,0.0,0.0
181,Piacabucu,BR,2020-05-10 16:22:24,-10.41,-36.43,80.37,81,42,11.21,moderate rain,0.0,0.0
182,Hermanus,ZA,2020-05-10 16:20:49,-34.42,19.23,63.0,78,0,0.92,clear sky,0.0,0.0
183,Husavik,IS,2020-05-10 16:18:03,66.04,-17.34,48.2,31,20,20.8,few clouds,0.0,0.0
184,La Rioja,ES,2020-05-10 16:22:24,42.25,-2.5,59.0,87,75,11.41,light rain,0.0,0.0
185,Taoudenni,ML,2020-05-10 16:22:24,22.68,-3.98,107.55,6,29,12.62,scattered clouds,0.0,0.0
186,Nhulunbuy,AU,2020-05-10 16:20:52,-12.23,136.77,80.6,69,75,12.75,broken clouds,0.0,0.0
187,Vanimo,PG,2020-05-10 16:22:24,-2.67,141.3,80.13,86,97,4.29,overcast clouds,0.0,0.0
188,Makat,KZ,2020-05-10 16:22:25,47.65,53.35,57.25,71,100,9.91,light rain,0.0,0.0
189,Yairipok,IN,2020-05-10 16:22:25,24.67,94.07,69.51,55,1,1.72,clear sky,0.0,0.0
190,Elat,IL,2020-05-10 16:22:25,29.56,34.95,89.6,19,0,13.87,clear sky,0.0,0.0
191,Zapolyarnyy,RU,2020-05-10 16:22:25,69.42,30.81,39.2,48,40,12.75,scattered clouds,0.0,0.0
192,Ponta Delgada,PT,2020-05-10 16:22:25,37.73,-25.67,62.6,72,20,19.46,few clouds,0.0,0.0
193,Kahului,US,2020-05-10 16:22:26,20.89,-156.47,69.8,83,40,6.93,scattered clouds,0.0,0.0
194,Brae,GB,2020-05-10 16:22:26,60.4,-1.35,41.0,60,95,25.28,light snow,0.0,0.0
195,Andornaktalya,HU,2020-05-10 16:22:26,47.85,20.42,70.39,62,100,6.08,overcast clouds,0.0,0.0
196,Mari-Turek,RU,2020-05-10 16:22:26,56.79,49.62,56.23,72,9,7.72,clear sky,0.0,0.0
197,Coshocton,US,2020-05-10 16:22:26,40.27,-81.86,55.99,42,98,5.01,overcast clouds,0.0,0.0
